alg,iteration,energy
SD,148,-187.9870350028241
SD,149,-187.9871240463013
SD,150,-187.98721216570226
SD,151,-187.98729942018883
SD,152,-187.98738583638766
SD,153,-187.98747139240368
SD,154,-187.98755628766764
SD,155,-187.9876402274204
SD,156,-187.98772335944773
SD,157,-187.98780571168015
SD,158,-187.98788726662525
SD,159,-187.98796807566993
SD,160,-187.9880481077518
SD,161,-187.98812738874256
SD,162,-187.98820595371063
SD,163,-187.9882837752263
SD,164,-187.9883608822733
SD,165,-187.98843730327172
SD,166,-187.98851300871263
SD,167,-187.98858808032765
SD,168,-187.9886624397268
SD,169,-187.98873613370142
SD,170,-187.98880918855048
SD,171,-187.98888158389917
SD,172,-187.98895334388698
SD,173,-187.98902453324337
SD,174,-187.989095065767
SD,175,-187.9891649872922
SD,176,-187.9892343156318
SD,177,-187.9893030400031
SD,178,-187.98937118645563
SD,179,-187.98943878029615
SD,180,-187.98950578489348
SD,181,-187.9895723032506
SD,182,-187.98963822977873
SD,183,-187.98970361125384
SD,184,-187.98976846212838
SD,185,-187.98983277486815
SD,186,-187.9898965729829
SD,187,-187.98995987966117
SD,188,-187.9900226618147
SD,189,-187.99008502312728
SD,190,-187.99014685103305
SD,191,-187.99020819807583
SD,192,-187.99026905362268
SD,193,-187.99032944483355
SD,194,-187.99038937742847
SD,195,-187.99044901185414
SD,196,-187.9905080604957
SD,197,-187.99056666538087
SD,198,-187.99062484674778
SD,199,-187.990682586432
CG,0,-181.37374279972124
CG,1,-184.17080407062053
CG,2,-185.3919420592145
CG,3,-185.90982831851585
CG,4,-186.13797648949594
CG,5,-186.25010197857938
CG,6,-186.3135291396403
CG,7,-186.35438612947365
CG,8,-186.3833954139074
CG,9,-186.40537684667004
CG,10,-186.42275856157875
CG,11,-186.43690628740728
CG,12,-186.4486689731918
CG,13,-186.45861045571667
CG,14,-186.4671252921284
CG,15,-186.47450203227538
CG,16,-186.4809531109305
CG,17,-186.4866420187554
CG,18,-186.49169692050407
CG,19,-186.49622159834274
