alpha,iteration,energy
0.001,105,-76.02696767312156
0.001,106,-76.02696770321464
0.001,107,-76.02696773020975
0.001,108,-76.02696775442799
0.001,109,-76.02696777615735
0.001,110,-76.02696779565494
0.001,111,-76.02696781315171
0.001,112,-76.02696782885417
0.001,113,-76.02696784294714
0.001,114,-76.02696785559685
0.001,115,-76.02696786695135
0.001,116,-76.02696787714459
0.001,117,-76.02696788629541
0.001,118,-76.02696789451095
0.001,119,-76.02696790188708
0.001,120,-76.0269679085099
0.001,121,-76.0269679144567
0.001,122,-76.02696791979702
0.001,123,-76.02696792459263
0.001,124,-76.02696792889928
0.001,125,-76.02696793276701
0.001,126,-76.02696793624072
0.001,127,-76.02696793936043
0.002,0,-72.83490259721931
0.002,1,-74.8016989064473
0.002,2,-75.54139072745578
0.002,3,-75.81339493190788
0.002,4,-75.92060774723237
0.002,5,-75.96730754607535
0.002,6,-75.99010516264835
0.002,7,-76.00257162257789
0.002,8,-76.01008352075212
0.002,9,-76.01494961737417
0.002,10,-76.01825997576161
0.002,11,-76.0205841541076
0.002,12,-76.02224924706941
0.002,13,-76.02345813854683
0.002,14,-76.02434396327153
0.002,15,-76.0249975195571
0.002,16,-76.02548234096089
0.002,17,-76.02584365151357
0.002,18,-76.02611402329977
0.002,19,-76.02631711490885
0.002,20,-76.02647022080609
0.002,21,-76.02658604810746
0.002,22,-76.0266739738206
0.002,23,-76.02674094412426
0.002,24,-76.02679212274283
0.002,25,-76.02683136126718
0.002,26,-76.02686154198165
0.002,27,-76.02688482877461
0.002,28,-76.0269028514246
0.002,29,-76.02691684139018
0.002,30,-76.02692773216678
0.002,31,-76.02693623367287
0.002,32,-76.02694288754468
0.002,33,-76.02694810835786
0.002,34,-76.02695221444752
0.002,35,-76.02695545102013
0.002,36,-76.02695800753496
0.002,37,-76.02696003082008
0.002,38,-76.02696163499685
0.002,39,-76.02696290901554
0.002,40,-76.02696392239437
0.002,41,-76.02696472960456
0.002,42,-76.02696537343141
0.002,43,-76.02696588755916
0.002,44,-76.02696629856402
0.002,45,-76.02696662745683
0.002,46,-76.02696689088039
0.002,47,-76.0269671020399
0.002,48,-76.0269672714302
0.002,49,-76.02696740740501
0.002,50,-76.02696751662162
0.002,51,-76.02696760439403
0.002,52,-76.02696767496732
0.002,53,-76.02696773173744
0.002,54,-76.02696777742149
0.002,55,-76.02696781419742
0.002,56,-76.02696784381251
0.002,57,-76.02696786766745
0.002,58,-76.02696788688753
0.002,59,-76.02696790237694
0.002,60,-76.02696791486225
0.002,61,-76.02696792492804
0.002,62,-76.02696793304453
0.002,63,-76.02696793959014
0.002,64,-76.02696794486967
0.002,65,-76.0269679491285
0.002,66,-76.0269679525644
0.002,67,-76.02696795533652
0.002,68,-76.02696795757326
0.002,69,-76.02696795937825
0.002,70,-76.0269679608348
0.002,71,-76.02696796201046
0.002,72,-76.0269679629593
0.005,0,-75.27096484405318
0.005,1,-75.9215430759833
0.005,2,-75.99724435534559
0.005,3,-76.01493922356052
0.005,4,-76.0214822024246
0.005,5,-76.02434693455628
0.005,6,-76.02567979826892
0.005,7,-76.02631998638873
0.005,8,-76.02663496867187
0.005,9,-76.02679336609573
0.005,10,-76.02687470252657
0.005,11,-76.02691730990294
0.005,12,-76.02694004813996
0.005,13,-76.02695238831136
0.005,14,-76.02695918455747
0.005,15,-76.02696297460614
0.005,16,-76.02696511020616
0.005,17,-76.02696632372282
0.005,18,-76.02696701791886
0.005,19,-76.02696741713385
0.005,20,-76.02696764765435
0.005,21,-76.02696778118556
0.005,22,-76.02696785872175
0.005,23,-76.02696790382676
0.005,24,-76.02696793010207
0.005,25,-76.02696794542484
0.005,26,-76.02696795436727
0.005,27,-76.0269679595895
0.005,28,-76.02696796264055
0.005,29,-76.0269679641393
0.02,0,-76.01488471379724
0.02,1,-76.02633568558417
0.02,2,-76.02691971177423
0.02,3,-76.02696330349626
0.02,4,-76.02696746509393
0.02,5,-76.0269679108394
0.02,6,-76.02696796058878
0.02,7,-76.02696796427747
0.04,0,-74.26208600409815
0.04,1,-74.26208600409815
0.04,2,-74.26208600409815
0.04,3,-74.26208600409815
0.04,4,-74.26208600409815
0.04,5,-74.26208600409815
0.04,6,-74.26208600409815
0.04,7,-74.26208600409815
0.04,8,-74.26208600409815
0.04,9,-74.26208600409815
0.04,10,-74.26208600409815
0.04,11,-74.26208600409815
0.08,0,-73.6760799029273
0.08,1,-73.6760799029273
0.08,2,-73.6760799029273
0.08,3,-73.6760799029273
0.08,4,-73.6760799029273
0.08,5,-73.6760799029273
0.08,6,-73.6760799029273
0.08,7,-73.6760799029273
0.08,8,-73.6760799029273
0.08,9,-73.6760799029273
0.08,10,-73.6760799029273
0.08,11,-73.6760799029273
0.16,0,-72.55810731338275
0.16,1,-72.55810731338275
0.16,2,-72.55810731338275
0.16,3,-72.55810731338275
0.16,4,-72.55810731338275
0.16,5,-72.55810731338275
0.16,6,-72.55810731338275
0.16,7,-72.55810731338275
0.16,8,-72.55810731338275
0.16,9,-72.55810731338275
0.16,10,-72.55810731338275
0.16,11,-72.55810731338275
