alpha,iteration,energy
0.001,82,-76.00262998954629
0.001,83,-76.00357490841235
0.001,84,-76.00447376380555
0.001,85,-76.0053294725909
0.001,86,-76.00614472421752
0.001,87,-76.00692200079058
0.001,88,-76.00766359525211
0.001,89,-76.00837162785174
0.001,90,-76.00904806107984
0.001,91,-76.00969471320795
0.001,92,-76.0103132705734
0.001,93,-76.01090529873153
0.001,94,-76.01147225257988
0.001,95,-76.01201548555927
0.001,96,-76.01253625801628
0.001,97,-76.0130357448073
0.001,98,-76.01351504221917
0.001,99,-76.01397517426872
0.001,100,-76.01441709844214
0.001,101,-76.0148417109239
0.001,102,-76.0152498513676
0.001,103,-76.01564230724698
0.001,104,-76.01601981783014
0.001,105,-76.01638307780983
0.001,106,-76.01673274062233
0.001,107,-76.01706942148317
0.001,108,-76.01739370016693
0.001,109,-76.01770612355305
0.001,110,-76.01800720795865
0.001,111,-76.01829744128035
0.001,112,-76.01857728496068
0.001,113,-76.01884717579063
0.001,114,-76.01910752757296
0.001,115,-76.01935873264833
0.001,116,-76.01960116330234
0.001,117,-76.01983517306196
0.001,118,-76.02006109789123
0.001,119,-76.02027925729581
0.001,120,-76.02048995534251
0.001,121,-76.02069348160236
0.001,122,-76.02089011202385
0.001,123,-76.02108010974256
0.001,124,-76.02126372582937
0.001,125,-76.02144119998744
0.001,126,-76.02161276119821
0.001,127,-76.0217786283226
0.001,128,-76.02193901065999
0.001,129,-76.02209410846925
0.002,0,-69.66914029789997
0.002,1,-70.44098023370132
0.002,2,-71.16037540565992
0.002,3,-71.8199249254788
0.002,4,-72.41531732980306
0.002,5,-72.94541607898937
0.002,6,-73.41165027101773
0.002,7,-73.81729602811869
0.002,8,-74.16683818818973
0.002,9,-74.46546118349141
0.002,10,-74.71865999107618
0.002,11,-74.93194703244178
0.002,12,-75.11063504501996
0.002,13,-75.25968350605226
0.002,14,-75.38360045094227
0.002,15,-75.48639205453888
0.002,16,-75.57155114815642
0.002,17,-75.6420748449114
0.002,18,-75.7005015444609
0.002,19,-75.74895878387419
0.002,20,-75.78921524419947
0.002,21,-75.82273220803785
0.002,22,-75.85071153513138
0.002,23,-75.87413861094123
0.002,24,-75.89381970172654
0.002,25,-75.91041377377914
0.002,26,-75.92445918868928
0.002,27,-75.9363958540109
0.002,28,-75.94658345751111
0.002,29,-75.95531639314584
0.002,30,-75.96283593152205
0.002,31,-75.96934011796588
0.002,32,-75.97499180964695
0.002,33,-75.97992519606426
0.002,34,-75.98425108751232
0.002,35,-75.98806120482352
0.002,36,-75.9914316605116
0.002,37,-75.99442578563983
0.002,38,-75.99709642735834
0.002,39,-75.9994878181057
0.002,40,-76.00163709804154
0.002,41,-76.00357555656507
0.002,42,-76.00532964608173
0.002,43,-76.00692181096433
0.002,44,-76.0083711663979
0.002,45,-76.00969405517046
0.002,46,-76.01090450510453
0.002,47,-76.01201460552217
0.002,48,-76.01303481764062
0.002,49,-76.01397423099243
0.002,50,-76.01484077569397
0.002,51,-76.01564139854099
0.002,52,-76.01638220943327
0.002,53,-76.01706860341713
0.002,54,-76.01770536266943
0.002,55,-76.018296741942
0.002,56,-76.01884654035157
0.002,57,-76.01935816187415
0.002,58,-76.01983466647542
0.002,59,-76.02027881346379
0.002,60,-76.02069309837186
0.002,61,-76.02107978443507
0.002,62,-76.02144092955521
0.002,63,-76.02177840947734
0.002,64,-76.02209393778331
0.002,65,-76.02238908320288
0.002,66,-76.02266528465694
0.002,67,-76.02292386437726
0.002,68,-76.02316603939293
0.002,69,-76.02339293161917
0.002,70,-76.02360557675385
0.002,71,-76.02380493214777
0.002,72,-76.02399188379212
0.002,73,-76.02416725254153
0.002,74,-76.02433179967369
0.002,75,-76.02448623187375
0.002,76,-76.02463120571208
0.002,77,-76.02476733168164
0.002,78,-76.02489517784736
0.002,79,-76.02501527315044
0.002,80,-76.02512811041005
0.002,81,-76.02523414905535
0.002,82,-76.02533381761653
0.002,83,-76.02542751600194
0.002,84,-76.02551561758101
0.002,85,-76.02559847109639
0.002,86,-76.02567640241834
0.002,87,-76.02574971615932
0.002,88,-76.02581869716053
0.002,89,-76.0258836118632
0.002,90,-76.025944709575
0.002,91,-76.02600222363955
0.002,92,-76.02605637251916
0.002,93,-76.0261073607976
0.002,94,-76.026155380109
0.002,95,-76.02620061000049
0.002,96,-76.02624321873267
0.002,97,-76.02628336402198
0.002,98,-76.0263211937327
0.002,99,-76.02635684652014
0.002,100,-76.02639045242827
0.002,101,-76.02642213344686
0.002,102,-76.02645200403107
0.002,103,-76.02648017158516
0.002,104,-76.02650673691365
0.002,105,-76.0265317946414
0.002,106,-76.02655543360756
0.002,107,-76.0265777372312
0.002,108,-76.02659878385462
0.002,109,-76.02661864706232
0.002,110,-76.0266373959802
0.002,111,-76.02665509555507
0.002,112,-76.02667180681554
0.002,113,-76.02668758711657
0.002,114,-76.02670249036782
0.002,115,-76.02671656724665
0.002,116,-76.0267298653996
0.002,117,-76.02674242962819
0.002,118,-76.0267543020651
0.002,119,-76.02676552233791
0.002,120,-76.02677612772278
0.002,121,-76.02678615328864
0.002,122,-76.02679563203212
0.002,123,-76.02680459500424
0.002,124,-76.02681307142656
0.002,125,-76.02682108880653
0.002,126,-76.02682867303757
0.002,127,-76.02683584849844
0.002,128,-76.02684263814453
0.002,129,-76.0268490635941
0.005,0,-70.80863751744846
0.005,1,-72.41684066997693
0.005,2,-73.62346307867509
