alpha,iteration,energy
0.005,106,-76.0269677810561
0.005,107,-76.02696780049291
0.005,108,-76.02696781788543
0.005,109,-76.02696783345051
0.005,110,-76.02696784738181
0.005,111,-76.02696785985209
0.005,112,-76.02696787101537
0.005,113,-76.02696788100985
0.005,114,-76.0269678899587
0.005,115,-76.0269678979716
0.005,116,-76.02696790514757
0.005,117,-76.02696791157403
0.005,118,-76.02696791732991
0.005,119,-76.02696792248548
0.005,120,-76.02696792710348
0.005,121,-76.02696793124029
0.005,122,-76.02696793494604
0.005,123,-76.0269679382663
0.02,0,-74.47435398405662
0.02,1,-75.75176251954223
0.02,2,-75.95582135643362
0.02,3,-75.99952133737962
0.02,4,-76.01395704121198
0.02,5,-76.02027117502452
0.02,6,-76.02339359764554
0.02,7,-76.02501889947706
0.02,8,-76.02588745571246
0.02,9,-76.0263599754095
0.02,10,-76.0266209291677
0.02,11,-76.02676709613216
0.02,12,-76.02685011660039
0.02,13,-76.02689792765229
0.02,14,-76.02692583857528
0.02,15,-76.02694234722996
0.02,16,-76.02695223312354
0.02,17,-76.02695822089764
0.02,18,-76.02696188503563
0.02,19,-76.02696414766588
0.02,20,-76.02696555587515
0.02,21,-76.02696643820623
0.02,22,-76.02696699416843
0.02,23,-76.02696734613065
0.02,24,-76.02696756980929
0.02,25,-76.0269677124107
0.02,26,-76.02696780355632
0.02,27,-76.02696786193397
0.02,28,-76.02696789938626
0.02,29,-76.02696792344611
0.02,30,-76.02696793891856
0.02,31,-76.02696794887721
0.02,32,-76.02696795529141
0.02,33,-76.02696795942487
0.02,34,-76.02696796208969
0.02,35,-76.02696796380823
0.02,36,-76.02696796415277
0.04,0,-75.75473559990363
0.04,1,-75.99955216326951
0.04,2,-76.02026349348999
0.04,3,-76.02502341823356
0.04,4,-76.02636361425354
0.04,5,-76.0267688919865
0.04,6,-76.02689871157611
0.04,7,-76.0269426808768
0.04,8,-76.02695836464231
0.04,9,-76.02696421104949
0.04,10,-76.02696646674514
0.04,11,-76.02696735915768
0.04,12,-76.02696771839594
0.04,13,-76.02696786468714
0.04,14,-76.02696792470995
0.04,15,-76.02696794945543
0.04,16,-76.0269679596885
0.04,17,-76.02696796392833
0.04,18,-76.02696796418137
0.08,0,-75.9995947672146
0.08,1,-76.02503399340358
0.08,2,-76.02677262491532
0.08,3,-76.0269433586785
0.08,4,-76.02696433857281
0.08,5,-76.02696738515493
0.08,6,-76.02696787012663
0.08,7,-76.02696795058317
0.08,8,-76.0269679641572
0.16,0,-74.87058229409831
0.16,1,-74.87182321692414
0.16,2,-74.87182321692414
0.16,3,-74.87182321692414
0.16,4,-74.87182321692414
0.16,5,-74.87182321692414
0.16,6,-74.87182321692414
0.16,7,-74.87182321692414
0.16,8,-74.87182321692414
0.16,9,-74.87182321692414
0.16,10,-74.87182321692414
0.16,11,-74.87182321692414
0.16,12,-74.87182321692414
